Адрес,Порт,Пакеты,Байты,Пакетов отправлено,Байтов отправлено,Пакетов получено,Байтов получено
"64.233.165.100",443,312,284194,26,1716,286,282478
"64.233.165.101",443,312,153734,111,22417,201,131317
"64.233.165.102",443,58,14762,29,7723,29,7039
"64.233.165.132",443,187,82613,100,64519,87,18094
"64.233.165.138",443,58,16744,28,7759,30,8985
"64.233.165.139",443,168,153094,14,924,154,152170
"64.233.165.194",443,63,19255,31,9951,32,9304
"66.235.152.111",443,35,12939,18,7221,17,5718
"66.235.152.212",443,84,29487,42,15808,42,13679
"74.125.131.94",443,482,111834,244,68263,238,43571
"74.125.131.95",443,18,5757,8,2910,10,2847
"74.125.131.97",443,591,431994,345,403526,246,28468
"74.125.131.100",443,71,19891,35,11081,36,8810
"74.125.131.101",443,199,85724,103,68114,96,17610
"74.125.131.102",443,36,32671,3,198,33,32473
"74.125.131.105",443,2601,1296409,1468,805782,1133,490627
"74.125.131.113",443,18,5738,8,2901,10,2837
"74.125.131.132",443,137,83677,46,30750,91,52927
"74.125.131.138",443,248,189962,56,28582,192,161380
"74.125.131.139",443,120,109170,10,660,110,108510
"74.125.131.155",443,52,46060,4,264,48,45796
"74.125.131.157",443,26,23096,2,132,24,22964
"74.125.205.94",443,52,16712,25,9643,27,7069
"74.125.205.95",443,128,38089,64,24920,64,13169
"74.125.205.97",443,497,388315,296,367594,201,20721
"74.125.205.100",443,90,28212,45,17501,45,10711
"74.125.205.101",443,96,87208,8,528,88,86680
"74.125.205.113",443,108,98237,9,594,99,97643
"74.125.205.132",443,70,28521,35,21616,35,6905
"74.125.205.138",443,36,32735,3,198,33,32537
"74.125.205.139",443,52,46092,4,264,48,45828
"76.223.54.146",80,34,2000,12,756,22,1244
"76.223.54.146",443,55,17957,19,10726,36,7231
"77.88.21.36",443,144,51782,76,28566,68,23216
"77.88.21.90",443,93,15511,47,8446,46,7065
"77.88.21.119",443,660,252706,345,154612,315,98094
"77.88.21.179",443,236,49226,117,24947,119,24279
"77.88.44.55",443,1307,565669,695,363337,612,202332
"77.88.55.88",443,2098,1187507,1173,794136,925,393371
"77.222.61.70",443,177,133049,104,124490,73,8559
"77.224.14.21",80,21371,20795057,13623,20317930,7748,477127
"80.87.192.36",443,78,27746,32,10090,46,17656
"80.249.151.169",443,23,9176,11,5843,12,3333
"84.201.212.69",80,11,1268,5,645,6,623
"87.240.129.132",443,420,124456,222,63532,198,60924
"87.240.129.133",443,7219,5983665,4293,5791840,2926,191825
"87.240.129.140",443,106,33482,55,15696,51,17786
"87.240.132.67",443,3065,2504624,1784,2426868,1281,77756
"87.240.132.72",443,2247,1820824,1312,1728071,935,92753
"87.240.132.78",443,49,16910,25,8276,24,8634
"87.240.137.130",443,98,28694,50,14475,48,14219
"87.240.137.206",443,570,96008,262,57855,308,38153
"87.240.137.207",443,1163,183979,560,112472,603,71507
"87.240.137.208",443,1289,221552,619,131845,670,89707
"87.240.139.193",443,39,10447,20,5615,19,4832
"87.240.169.3",443,91,58402,50,53596,41,4806
"87.240.185.132",443,102,67930,58,62976,44,4954
"87.240.185.138",443,57,24640,27,20465,30,4175
"87.240.185.152",443,100,55078,52,47898,48,7180
"87.240.185.155",443,122,88788,69,83279,53,5509
"87.240.185.171",443,98,63132,53,57957,45,5175
"87.240.190.70",443,768,120819,385,74103,383,46716
"87.240.190.75",443,67,23747,37,15488,30,8259
"87.240.190.90",443,508,168047,250,97397,258,70650
"87.250.247.181",443,327,180254,190,158990,137,21264
"87.250.247.182",443,62,15880,31,9529,31,6351
"87.250.247.183",443,303,180278,183,164843,120,15435
"87.250.250.36",443,41,14623,22,8825,19,5798
"87.250.250.90",443,451,92144,226,41057,225,51087
"87.250.250.119",443,670,307278,339,140583,331,166695
"87.250.250.254",443,127,42394,63,15602,64,26792
"87.250.251.15",443,488,102475,246,32934,242,69541
"87.250.251.119",443,498,188893,262,128404,236,60489
"87.250.254.45",443,304,104819,166,68446,138,36373
"89.208.153.100",443,417,315629,234,262116,183,53513
"89.223.65.244",443,47,14603,25,8119,22,6484
"91.222.238.247",443,89,29076,47,16056,42,13020
"92.38.252.68",443,238,218932,150,211668,88,7264
"92.38.252.75",443,422,84708,202,39868,220,44840
"92.223.83.6",4000,28,3868,14,2461,14,1407
"93.158.134.36",443,93,29348,47,13452,46,15896
"93.158.134.90",443,336,55903,168,26722,168,29181
"93.158.134.118",443,295,72563,151,32011,144,40552
"93.186.225.205",443,560,109636,283,68956,277,40680
"93.186.227.158",443,152,119404,93,113465,59,5939
"93.186.237.1",443,161,44550,81,23046,80,21504
"93.186.237.6",443,942,210080,565,144466,377,65614
"93.186.237.7",443,3078,638009,1848,430937,1230,207072
"93.186.237.16",443,718,65024,427,36836,291,28188
"95.47.236.28",443,856,759903,546,731439,310,28464
"95.101.173.249",443,39,8892,19,4054,20,4838
"95.101.174.86",443,671,266682,343,193885,328,72797
"95.142.204.151",443,25,6794,13,4308,12,2486
"95.142.204.152",443,76,27717,39,20980,37,6737
"95.142.204.153",443,52,15446,28,11403,24,4043
"95.142.204.156",443,154,112784,93,106380,61,6404
"95.142.204.157",443,54,17805,29,13560,25,4245
"95.142.204.159",443,23,6750,12,4254,11,2496
"95.142.204.161",443,1010,766208,581,727588,429,38620
"95.142.204.162",443,91,56523,53,51628,38,4895
"95.142.204.163",443,88,35839,46,28358,42,7481
"95.142.204.164",443,57,19134,30,14794,27,4340
"95.142.204.165",443,104,72885,63,68145,41,4740
"95.142.204.167",443,103,69553,62,64540,41,5013
"95.142.204.168",443,122,77073,67,71343,55,5730
"95.142.204.169",443,131,81858,75,73878,56,7980
"95.142.204.170",443,23,6654,12,4254,11,2400
"95.142.204.171",443,65,27647,36,23312,29,4335
"95.142.204.172",443,81,32907,42,25849,39,7058
"95.142.204.173",443,24,6785,13,4321,11,2464
"95.142.204.175",443,147,103630,84,97411,63,6219
"95.142.204.176",443,23,6686,12,4254,11,2432
"95.142.204.177",443,26,6816,13,4308,13,2508
"95.142.204.178",443,131,94509,80,88928,51,5581
"95.142.204.179",443,147,113003,89,107139,58,5864
"95.142.204.182",443,23,6719,12,4255,11,2464
"95.142.204.183",443,157,116136,94,110111,63,6025
"95.142.204.184",443,83,49411,48,44770,35,4641
"95.142.204.185",443,86,48495,49,43656,37,4839
"95.142.204.186",443,57,20920,30,16593,27,4327
"95.142.204.187",443,98,59591,57,54545,41,5046
"95.142.204.188",443,81,49813,47,45449,34,4364
"95.142.204.189",443,66,30895,36,26434,30,4461
"95.142.204.190",443,211,166018,132,158785,79,7233
"95.142.205.107",443,1557,1619222,1158,1593961,399,25261
"95.163.41.56",443,231,113363,115,91555,116,21808
"95.163.52.67",443,323,128658,168,76598,155,52060
"95.163.52.89",443,240,87798,110,50416,130,37382
"95.181.182.182",443,3382,2545792,2010,2405732,1372,140060
"95.213.56.1",443,118,32948,58,17119,60,15829
"95.213.56.2",443,1475,320435,892,216618,583,103817
"95.213.56.3",443,1680,372728,1006,252885,674,119843
"95.213.56.4",443,2783,606477,1671,412928,1112,193549
"104.16.79.73",443,71,21833,36,15361,35,6472
"104.16.79.142",443,112,51282,57,41904,55,9378
"104.16.108.254",443,71,37823,40,33760,31,4063
"104.16.109.254",443,45,10083,23,6470,22,3613
"104.16.117.116",443,259,92238,132,52263,127,39975
"104.16.118.116",443,308,108495,161,77602,147,30893
"104.16.137.209",443,64,17487,33,11349,31,6138
"104.16.160.168",443,103,48586,54,39626,49,8960
"104.16.174.226",443,55,19747,27,13799,28,5948
"104.16.175.226",443,243,118339,124,99238,119,19101
"104.17.31.174",443,73,24801,36,18229,37,6572
"104.17.128.172",443,64,19917,32,13740,32,6177
"104.17.173.91",443,18,6897,8,4484,10,2413
"104.17.176.91",443,752,534121,433,501152,319,32969
"104.17.249.203",443,20,7005,10,4573,10,2432
"104.18.80.204",443,35,13515,19,9013,16,4502
"104.18.86.42",443,705,461309,423,428243,282,33066
"104.18.87.42",443,121,28667,58,15259,63,13408
"104.18.128.216",443,62,14701,30,8331,32,6370
"104.18.175.91",443,166,122233,100,114085,66,8148
"104.18.243.108",443,65,17283,34,11108,31,6175
"104.19.175.252",443,19,6977,9,4533,10,2444
"104.21.48.1",443,38,13764,18,8988,20,4776
"104.73.169.172",443,185,51217,105,27467,80,23750
"104.73.170.103",443,1903,1498988,1166,1428496,737,70492
"104.84.152.16",443,26,10900,15,8424,11,2476
"104.84.152.241",443,27,10890,15,8424,12,2466
"104.123.68.203",443,62,18104,33,11432,29,6672
"104.208.16.92",443,35,13851,15,5642,20,8209
"104.208.16.95",443,206,146237,82,15294,124,130943
"107.178.241.63",443,20,4141,9,1382,11,2759
"107.178.255.183",443,16,3899,7,1250,9,2649
"108.177.14.94",443,207,41280,105,21006,102,20274
"108.177.14.95",443,86,24178,42,14551,44,9627
"108.177.14.99",443,60,17768,32,10566,28,7202
"108.177.14.100",443,97,53299,51,36173,46,17126
"108.177.14.102",443,340,255288,80,35800,260,219488
"108.177.14.104",443,58,16774,28,10242,30,6532
"108.177.14.113",443,72,65438,6,396,66,65042
"108.177.14.149",443,52,46088,4,264,48,45824
"108.177.14.154",443,78,69060,6,396,72,68664
"108.177.14.155",443,78,69188,6,396,72,68792
"109.71.12.4",443,27,7387,13,4131,14,3256
"109.71.15.131",443,47,14558,25,8106,22,6452
"130.211.4.55",443,16,3867,7,1250,9,2617
"130.211.15.157",443,22,4236,10,1454,12,2782
"138.197.230.51",443,34,10172,18,6132,16,4040
"140.82.112.21",443,110,40471,58,11471,52,29000
"140.82.114.22",443,63,22275,33,7855,30,14420
"140.82.121.4",443,154,106742,94,99622,60,7120
"140.82.121.5",443,50,13896,25,8275,25,5621
"140.82.121.6",443,73,22105,37,12702,36,9403
"142.132.138.212",443,44,12024,21,6289,23,5735
"142.132.138.213",443,79,36879,42,30226,37,6653
"142.250.150.84",443,228,138016,132,115226,96,22790
"142.250.150.94",443,85,16457,44,9724,41,6733
"142.250.150.95",443,141,45962,71,27662,70,18300
"142.250.150.100",443,185,86174,75,27391,110,58783
"142.250.150.102",443,264,240174,22,1452,242,238722
"142.250.150.139",443,144,131132,12,792,132,130340
"142.250.150.156",443,78,69252,6,396,72,68856
"142.251.1.94",80,12,1531,5,739,7,792
"142.251.1.94",443,207,49435,103,29734,104,19701
"142.251.1.95",443,172,83675,93,69413,79,14262
"142.251.1.102",443,18,5814,8,2925,10,2889
"142.251.1.113",443,60,17153,29,10566,31,6587
"142.251.1.139",443,58,16935,27,10412,31,6523
"142.251.1.188",5228,584,35780,292,19384,292,16396
"142.251.42.99",443,69,19295,36,13012,33,6283
"146.75.118.172",80,11,1121,5,503,6,618
"146.75.118.172",443,17,6487,9,5246,8,1241
"146.75.120.157",443,50,45476,4,264,46,45212
"146.75.121.140",443,5428,2574447,2962,2215023,2466,359424
"146.148.16.38",443,120,22301,62,13965,58,8336
"150.171.22.12",443,80,71382,6,396,74,70986
"150.171.27.10",443,189,72989,106,48627,83,24362
"150.171.27.11",443,369,141889,205,73089,164,68800
"150.171.28.10",443,210,75511,119,49221,91,26290
"150.171.28.11",443,136,61845,75,32477,61,29368
"151.101.1.195",443,499,316128,285,290621,214,25507
"151.101.130.137",443,283,200871,167,188142,116,12729
